source	target	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	score
BMP2	SOX2	9606.ENSP00000368104	9606.ENSP00000323588	0	0	0	0	0.062	0.077	0	0.545	0.571
BMP2	PTCH1	9606.ENSP00000368104	9606.ENSP00000332353	0	0	0	0	0	0.342	0	0.6	0.725
BMP2	PDE4D	9606.ENSP00000368104	9606.ENSP00000345502	0	0	0	0	0.07	0	0	0.425	0.443
BMP2	JUN	9606.ENSP00000368104	9606.ENSP00000360266	0	0	0	0	0	0	0	0.514	0.514
BMP2	ID3	9606.ENSP00000368104	9606.ENSP00000363689	0	0	0	0	0.073	0	0	0.42	0.439
BMP2	KLF4	9606.ENSP00000368104	9606.ENSP00000363804	0	0	0	0	0	0.057	0	0.417	0.427
BMP2	ID1	9606.ENSP00000368104	9606.ENSP00000365280	0	0	0	0	0.076	0	0	0.645	0.658
BMP2	MYC	9606.ENSP00000368104	9606.ENSP00000479618	0	0	0	0	0	0.061	0	0.43	0.442
BMP4	FSTL3	9606.ENSP00000245451	9606.ENSP00000166139	0	0	0	0	0.074	0.143	0	0.335	0.426
BMP4	PPP1R15A	9606.ENSP00000245451	9606.ENSP00000200453	0	0	0	0	0	0	0.9	0.054	0.901
BMP4	CCND1	9606.ENSP00000245451	9606.ENSP00000227507	0	0	0	0	0.099	0	0	0.47	0.502
BMP4	ID2	9606.ENSP00000245451	9606.ENSP00000234091	0	0	0	0	0	0	0	0.582	0.582
BMP4	SPRY1	9606.ENSP00000245451	9606.ENSP00000481675	0	0	0	0	0	0	0	0.41	0.41
BMP4	KLF5	9606.ENSP00000245451	9606.ENSP00000366915	0	0	0	0	0.088	0.057	0	0.37	0.411
BMP4	MEOX1	9606.ENSP00000245451	9606.ENSP00000321684	0	0	0	0	0	0.057	0	0.405	0.415
BMP4	SPRY2	9606.ENSP00000245451	9606.ENSP00000366306	0	0	0	0	0	0	0	0.435	0.435
BMP4	JUN	9606.ENSP00000245451	9606.ENSP00000360266	0	0	0	0	0	0	0	0.459	0.459
BMP4	TNFRSF11B	9606.ENSP00000245451	9606.ENSP00000297350	0	0	0	0	0.062	0	0	0.467	0.479
BMP4	FUT4	9606.ENSP00000245451	9606.ENSP00000351602	0	0	0	0	0	0	0	0.48	0.48
BMP4	IGF1R	9606.ENSP00000245451	9606.ENSP00000268035	0	0	0	0	0	0.15	0	0.425	0.49
BMP4	EDN1	9606.ENSP00000245451	9606.ENSP00000368683	0	0	0	0	0.07	0	0	0.482	0.498
BMP4	ID3	9606.ENSP00000245451	9606.ENSP00000363689	0	0	0	0	0.077	0	0	0.501	0.52
BMP4	FOXC1	9606.ENSP00000245451	9606.ENSP00000370256	0	0	0	0	0.076	0.056	0	0.501	0.526
BMP4	NOTCH2	9606.ENSP00000245451	9606.ENSP00000256646	0	0	0	0	0.064	0.104	0	0.497	0.541
BMP4	MYC	9606.ENSP00000245451	9606.ENSP00000479618	0	0	0	0	0	0.061	0	0.581	0.589
BMP4	ID1	9606.ENSP00000245451	9606.ENSP00000365280	0	0	0	0	0.089	0	0	0.626	0.645
BMP4	JAG1	9606.ENSP00000245451	9606.ENSP00000254958	0	0	0	0	0.086	0.102	0	0.624	0.664
BMP4	KLF4	9606.ENSP00000245451	9606.ENSP00000363804	0	0	0	0	0	0.057	0	0.676	0.681
BMP4	LIF	9606.ENSP00000245451	9606.ENSP00000249075	0	0	0	0	0	0	0	0.683	0.684
BMP4	NOTCH1	9606.ENSP00000245451	9606.ENSP00000277541	0	0	0	0	0.064	0.104	0	0.719	0.743
BMP4	SOX9	9606.ENSP00000245451	9606.ENSP00000245479	0	0	0	0	0.077	0.077	0	0.738	0.758
BMP4	PTCH1	9606.ENSP00000245451	9606.ENSP00000332353	0	0	0	0	0	0.342	0	0.68	0.781
BMP4	TBX3	9606.ENSP00000245451	9606.ENSP00000257566	0	0	0	0	0.087	0.139	0	0.774	0.807
BMP4	SOX2	9606.ENSP00000245451	9606.ENSP00000323588	0	0	0	0	0.062	0.077	0	0.833	0.843
BRD3	MYC	9606.ENSP00000305918	9606.ENSP00000479618	0	0	0	0	0.077	0.13	0	0.577	0.631
BRD3	SMARCA4	9606.ENSP00000305918	9606.ENSP00000395654	0	0	0	0	0.176	0.213	0	0.486	0.637
BTG2	PPP1R15A	9606.ENSP00000290551	9606.ENSP00000200453	0	0	0	0	0.369	0	0	0.212	0.481
BTG2	GADD45B	9606.ENSP00000290551	9606.ENSP00000215631	0	0	0	0	0.109	0	0	0.411	0.453
BTG2	CCND1	9606.ENSP00000290551	9606.ENSP00000227507	0	0	0	0	0	0	0.9	0.459	0.943
BTG2	DUSP1	9606.ENSP00000290551	9606.ENSP00000239223	0	0	0	0	0.777	0	0	0.412	0.864
BTG2	EGR1	9606.ENSP00000290551	9606.ENSP00000239938	0	0	0	0	0.61	0	0	0.508	0.799
BTG2	EGR2	9606.ENSP00000290551	9606.ENSP00000242480	0	0	0	0	0.31	0	0	0.343	0.528
BTG2	FOSB	9606.ENSP00000290551	9606.ENSP00000245919	0	0	0	0	0.22	0	0	0.455	0.557
BTG2	GDF15	9606.ENSP00000290551	9606.ENSP00000252809	0	0	0	0	0	0	0	0.487	0.487
BTG2	IER3	9606.ENSP00000290551	9606.ENSP00000259874	0	0	0	0	0.064	0	0	0.406	0.42
BTG2	CSRNP1	9606.ENSP00000290551	9606.ENSP00000273153	0	0	0	0	0.225	0	0	0.288	0.425
BTG2	FOSL1	9606.ENSP00000290551	9606.ENSP00000310170	0	0	0	0	0.085	0	0	0.392	0.419
BTG2	PLK3	9606.ENSP00000290551	9606.ENSP00000361275	0	0	0	0	0.124	0	0	0.371	0.425
BTG2	DUSP5	9606.ENSP00000290551	9606.ENSP00000358596	0	0	0	0	0.185	0	0	0.326	0.427
BTG2	EGR4	9606.ENSP00000290551	9606.ENSP00000445626	0	0	0	0	0.064	0	0	0.467	0.48
BTG2	IER5	9606.ENSP00000290551	9606.ENSP00000356549	0	0	0	0	0.13	0	0	0.456	0.506
BTG2	JUNB	9606.ENSP00000290551	9606.ENSP00000303315	0	0	0	0	0.468	0	0	0.297	0.61
BTG2	TNKS1BP1	9606.ENSP00000290551	9606.ENSP00000437271	0	0	0	0	0	0	0.6	0.068	0.611
BTG2	JUN	9606.ENSP00000290551	9606.ENSP00000360266	0	0	0	0	0.704	0	0	0.393	0.813
BTG2	NR4A1	9606.ENSP00000290551	9606.ENSP00000440864	0	0	0	0	0.533	0	0	0.637	0.823
BTG2	FOS	9606.ENSP00000290551	9606.ENSP00000306245	0	0	0	0	0.85	0	0	0.47	0.917
BTG2	HOXB9	9606.ENSP00000290551	9606.ENSP00000309439	0	0	0	0	0	0.297	0.9	0.841	0.987
C1QBP	FBL	9606.ENSP00000225698	9606.ENSP00000221801	0	0	0	0	0.507	0.691	0	0.678	0.946
C1QBP	SOCS3	9606.ENSP00000225698	9606.ENSP00000330341	0	0	0	0	0	0	0	0.411	0.411
C1QBP	CD55	9606.ENSP00000225698	9606.ENSP00000356030	0	0	0	0	0	0	0	0.423	0.422
C1QBP	IER5	9606.ENSP00000225698	9606.ENSP00000356549	0	0	0	0	0	0	0	0.443	0.443
CAD	FBL	9606.ENSP00000264705	9606.ENSP00000221801	0	0	0	0	0.508	0	0	0	0.508
CAD	MYC	9606.ENSP00000264705	9606.ENSP00000479618	0	0	0	0	0.098	0.674	0	0.155	0.73
CASP2	MYC	9606.ENSP00000312664	9606.ENSP00000479618	0	0	0	0	0	0	0	0.494	0.494
CASP2	JUN	9606.ENSP00000312664	9606.ENSP00000360266	0	0	0	0	0	0.057	0	0.507	0.515
CASP2	HTT	9606.ENSP00000312664	9606.ENSP00000347184	0	0	0	0	0.062	0.067	0	0.712	0.726
CBX4	EGR1	9606.ENSP00000269397	9606.ENSP00000239938	0	0	0	0	0	0.061	0.65	0.045	0.658
CBX4	SMARCA4	9606.ENSP00000269397	9606.ENSP00000395654	0	0	0	0	0	0.212	0	0.302	0.426
CBX4	GATAD2B	9606.ENSP00000269397	9606.ENSP00000357644	0	0	0	0	0	0	0.65	0	0.65
CBX4	JUN	9606.ENSP00000269397	9606.ENSP00000360266	0	0	0	0	0.069	0	0.65	0.127	0.69
CBX4	CHD3	9606.ENSP00000269397	9606.ENSP00000369716	0	0	0	0	0.083	0.111	0.65	0.171	0.732
CBX4	EZH1	9606.ENSP00000269397	9606.ENSP00000404658	0	0	0	0	0	0.211	0.9	0.542	0.96
CCDC51	TMA7	9606.ENSP00000379047	9606.ENSP00000397843	0	0	0	0	0.083	0	0	0.777	0.786
CCL2	HMOX1	9606.ENSP00000225831	9606.ENSP00000216117	0	0	0	0	0.095	0	0	0.668	0.686
CCL2	NFKBIA	9606.ENSP00000225831	9606.ENSP00000216797	0	0	0	0	0.063	0	0	0.702	0.709
CCL2	GDF15	9606.ENSP00000225831	9606.ENSP00000252809	0	0	0	0	0.057	0	0	0.391	0.401
CCL2	SCARB1	9606.ENSP00000225831	9606.ENSP00000261693	0	0	0	0	0	0	0	0.405	0.405
CCL2	CTNND1	9606.ENSP00000225831	9606.ENSP00000382004	0	0	0	0	0	0	0	0.416	0.416
CCL2	CCND1	9606.ENSP00000225831	9606.ENSP00000227507	0	0	0	0	0.065	0	0	0.438	0.452
CCL2	NOTCH1	9606.ENSP00000225831	9606.ENSP00000277541	0	0	0	0	0	0	0	0.459	0.459
CCL2	NFE2L2	9606.ENSP00000225831	9606.ENSP00000380252	0	0	0	0	0	0	0	0.459	0.459
CCL2	DUSP1	9606.ENSP00000225831	9606.ENSP00000239223	0	0	0	0	0.064	0	0	0.459	0.471
CCL2	EGR1	9606.ENSP00000225831	9606.ENSP00000239938	0	0	0	0	0.062	0	0	0.466	0.477
CCL2	MYC	9606.ENSP00000225831	9606.ENSP00000479618	0	0	0	0	0.062	0	0	0.469	0.48
CCL2	HBEGF	9606.ENSP00000225831	9606.ENSP00000230990	0	0	0	0	0.07	0	0	0.468	0.484
CCL2	TNFRSF12A	9606.ENSP00000225831	9606.ENSP00000326737	0	0	0	0	0.096	0	0	0.463	0.493
CCL2	IL11	9606.ENSP00000225831	9606.ENSP00000264563	0	0	0	0	0	0	0	0.519	0.519
CCL2	TNFRSF11B	9606.ENSP00000225831	9606.ENSP00000297350	0	0	0	0	0.076	0	0	0.519	0.536
CCL2	SOCS3	9606.ENSP00000225831	9606.ENSP00000330341	0	0	0	0	0.126	0	0	0.565	0.603
CCL2	EDN1	9606.ENSP00000225831	9606.ENSP00000368683	0	0	0	0	0.088	0	0	0.661	0.678
CCL2	LGALS3	9606.ENSP00000225831	9606.ENSP00000254301	0	0	0	0	0.099	0	0	0.674	0.693
CCL2	CXCL3	9606.ENSP00000225831	9606.ENSP00000296026	0	0	0	0	0.165	0	0	0.697	0.736
CCL2	LIF	9606.ENSP00000225831	9606.ENSP00000249075	0	0	0	0	0.098	0	0.9	0.506	0.951
CCL2	FOS	9606.ENSP00000225831	9606.ENSP00000306245	0	0	0	0	0	0	0.9	0.556	0.953
CCL2	JUN	9606.ENSP00000225831	9606.ENSP00000360266	0	0	0	0	0.062	0	0.9	0.686	0.968
CCL2	CXCL2	9606.ENSP00000225831	9606.ENSP00000427279	0	0	0	0	0.194	0	0.9	0.824	0.984
CCND1	FSTL3	9606.ENSP00000227507	9606.ENSP00000166139	0	0	0	0	0.11	0	0	0.398	0.441
CCND1	HMOX1	9606.ENSP00000227507	9606.ENSP00000216117	0	0	0	0	0	0	0	0.458	0.457
CCND1	NFKBIA	9606.ENSP00000227507	9606.ENSP00000216797	0	0	0	0	0	0	0	0.635	0.635
CCND1	DUSP1	9606.ENSP00000227507	9606.ENSP00000239223	0	0	0	0	0	0	0	0.403	0.403
CCND1	HBEGF	9606.ENSP00000227507	9606.ENSP00000230990	0	0	0	0	0.062	0	0	0.391	0.404
CCND1	GDF15	9606.ENSP00000227507	9606.ENSP00000252809	0	0	0	0	0.11	0	0	0.369	0.414
CCND1	LGALS3	9606.ENSP00000227507	9606.ENSP00000254301	0	0	0	0	0.064	0	0	0.401	0.415
CCND1	CTNND1	9606.ENSP00000227507	9606.ENSP00000382004	0	0	0	0	0.103	0	0	0.406	0.444
CCND1	SOCS3	9606.ENSP00000227507	9606.ENSP00000330341	0	0	0	0	0	0	0	0.45	0.45
CCND1	USP2	9606.ENSP00000227507	9606.ENSP00000260187	0	0	0	0	0	0.27	0	0.283	0.454
CCND1	NFE2L2	9606.ENSP00000227507	9606.ENSP00000380252	0	0	0	0	0	0	0	0.457	0.457
CCND1	RND3	9606.ENSP00000227507	9606.ENSP00000364886	0	0	0	0	0.214	0.059	0	0.325	0.457
CCND1	FOSB	9606.ENSP00000227507	9606.ENSP00000245919	0	0	0	0	0	0	0	0.46	0.46
CCND1	ZNF217	9606.ENSP00000227507	9606.ENSP00000360526	0	0	0	0	0	0.056	0	0.456	0.464
CCND1	EPHA2	9606.ENSP00000227507	9606.ENSP00000351209	0	0	0	0	0.305	0	0	0.274	0.473
CCND1	KLF5	9606.ENSP00000227507	9606.ENSP00000366915	0	0	0	0	0.069	0.056	0	0.458	0.482
CCND1	RPS6	9606.ENSP00000227507	9606.ENSP00000369757	0	0	0	0	0.062	0	0	0.487	0.498
CCND1	ID1	9606.ENSP00000227507	9606.ENSP00000365280	0	0	0	0	0.15	0	0	0.452	0.514
CCND1	ENC1	9606.ENSP00000227507	9606.ENSP00000479101	0	0	0	0	0	0	0	0.519	0.519
CCND1	EGR1	9606.ENSP00000227507	9606.ENSP00000239938	0	0	0	0	0	0.056	0	0.529	0.536
CCND1	KLF4	9606.ENSP00000227507	9606.ENSP00000363804	0	0	0	0	0	0.056	0	0.531	0.538
CCND1	NOTCH2	9606.ENSP00000227507	9606.ENSP00000256646	0	0	0	0	0.079	0	0	0.534	0.553
CCND1	JUND	9606.ENSP00000227507	9606.ENSP00000252818	0	0	0	0	0	0.27	0	0.433	0.568
CCND1	FOSL1	9606.ENSP00000227507	9606.ENSP00000310170	0	0	0	0	0.114	0	0	0.563	0.597
CCND1	SOX9	9606.ENSP00000227507	9606.ENSP00000245479	0	0	0	0	0.139	0	0	0.566	0.61
CCND1	COPRS	9606.ENSP00000227507	9606.ENSP00000304327	0	0	0	0	0.063	0	0.6	0.055	0.614
CCND1	PTCH1	9606.ENSP00000227507	9606.ENSP00000332353	0	0	0	0	0	0	0	0.615	0.615
CCND1	JAG1	9606.ENSP00000227507	9606.ENSP00000254958	0	0	0	0	0.092	0	0	0.644	0.663
CCND1	IGF1R	9606.ENSP00000227507	9606.ENSP00000268035	0	0	0	0	0	0	0	0.665	0.665
CCND1	NOTCH1	9606.ENSP00000227507	9606.ENSP00000277541	0	0	0	0	0.06	0	0	0.768	0.774
CCND1	FLNA	9606.ENSP00000227507	9606.ENSP00000358866	0	0	0	0	0.099	0	0	0.771	0.786
CCND1	SMARCA4	9606.ENSP00000227507	9606.ENSP00000395654	0	0	0	0	0.062	0.057	0.65	0.457	0.809
CCND1	CEBPD	9606.ENSP00000227507	9606.ENSP00000386165	0	0	0	0	0	0	0.9	0.323	0.929
CCND1	JUNB	9606.ENSP00000227507	9606.ENSP00000303315	0	0	0	0	0	0	0.9	0.346	0.931
CCND1	SOX2	9606.ENSP00000227507	9606.ENSP00000323588	0	0	0	0	0	0	0.9	0.671	0.965
CCND1	JUN	9606.ENSP00000227507	9606.ENSP00000360266	0	0	0	0	0	0.27	0.9	0.774	0.982
CCND1	FOS	9606.ENSP00000227507	9606.ENSP00000306245	0	0	0	0	0	0.494	0.9	0.775	0.987
CCND1	MYC	9606.ENSP00000227507	9606.ENSP00000479618	0	0	0	0	0.069	0	0.9	0.919	0.991
CCND1	CDKN1B	9606.ENSP00000227507	9606.ENSP00000228872	0	0	0	0	0.062	0.984	0.9	0.98	0.999
CCRN4L	SOX9	9606.ENSP00000280614	9606.ENSP00000245479	0	0	0	0	0	0	0	0.439	0.439
CDKN1B	FOS	9606.ENSP00000228872	9606.ENSP00000306245	0	0	0	0	0	0	0	0.462	0.462
CDKN1B	TXNIP	9606.ENSP00000228872	9606.ENSP00000462521	0	0	0	0	0.085	0.27	0	0.261	0.463
CDKN1B	SOX2	9606.ENSP00000228872	9606.ENSP00000323588	0	0	0	0	0.049	0	0	0.458	0.463
CDKN1B	JAG1	9606.ENSP00000228872	9606.ENSP00000254958	0	0	0	0	0	0	0	0.471	0.471
CDKN1B	JUN	9606.ENSP00000228872	9606.ENSP00000360266	0	0	0	0	0.062	0	0	0.553	0.563
CDKN1B	NOTCH1	9606.ENSP00000228872	9606.ENSP00000277541	0	0	0	0	0.066	0	0	0.567	0.578
CDKN1B	IGF1R	9606.ENSP00000228872	9606.ENSP00000268035	0	0	0	0	0	0.283	0	0.468	0.602
CDKN1B	MYC	9606.ENSP00000228872	9606.ENSP00000479618	0	0	0	0	0	0.4	0	0.692	0.807
CDKN1B	RHOB	9606.ENSP00000228872	9606.ENSP00000272233	0	0	0	0	0	0.155	0.9	0.144	0.921
CEBPD	NFKBIA	9606.ENSP00000386165	9606.ENSP00000216797	0	0	0	0	0.311	0.058	0	0.336	0.531
CEBPD	DUSP1	9606.ENSP00000386165	9606.ENSP00000239223	0	0	0	0	0.278	0	0	0.24	0.428
CEBPD	EGR2	9606.ENSP00000386165	9606.ENSP00000242480	0	0	0	0	0	0.058	0	0.405	0.415
CEBPD	JUNB	9606.ENSP00000386165	9606.ENSP00000303315	0	0	0	0	0.206	0.102	0.9	0.217	0.936
CEBPD	FOS	9606.ENSP00000386165	9606.ENSP00000306245	0	0	0	0	0.144	0.078	0.9	0.464	0.952
CEBPD	SOX2	9606.ENSP00000386165	9606.ENSP00000323588	0	0	0	0	0	0.102	0.9	0.418	0.943
CEBPD	NFKBIZ	9606.ENSP00000386165	9606.ENSP00000325663	0	0	0	0	0.076	0.058	0	0.398	0.43
CEBPD	SOCS3	9606.ENSP00000386165	9606.ENSP00000330341	0	0	0	0	0.31	0	0	0.365	0.543
CEBPD	JUN	9606.ENSP00000386165	9606.ENSP00000360266	0	0	0	0	0.097	0.102	0	0.573	0.624
CEBPD	KLF4	9606.ENSP00000386165	9606.ENSP00000363804	0	0	0	0	0.141	0.058	0	0.392	0.465
CEBPD	KLF5	9606.ENSP00000386165	9606.ENSP00000366915	0	0	0	0	0.065	0.058	0.9	0.509	0.95
CEBPD	EDN1	9606.ENSP00000386165	9606.ENSP00000368683	0	0	0	0	0.069	0	0	0.398	0.415
CEBPD	MYC	9606.ENSP00000386165	9606.ENSP00000479618	0	0	0	0	0.063	0.102	0.9	0.394	0.942
CHD3	EGR1	9606.ENSP00000369716	9606.ENSP00000239938	0	0	0	0	0	0.105	0.65	0.181	0.721
CHD3	NAB2	9606.ENSP00000369716	9606.ENSP00000300131	0	0	0	0	0.07	0.4	0	0.786	0.871
CHD3	SOX2	9606.ENSP00000369716	9606.ENSP00000323588	0	0	0	0	0.062	0.493	0	0.699	0.844
CHD3	GATAD2B	9606.ENSP00000369716	9606.ENSP00000357644	0	0	0	0	0.075	0.884	0.9	0.724	0.996
CHD3	JUN	9606.ENSP00000369716	9606.ENSP00000360266	0	0	0	0	0.06	0.37	0.65	0.082	0.784
CHD3	KMT2B	9606.ENSP00000369716	9606.ENSP00000398837	0	0	0	0	0.111	0.153	0	0.268	0.401
CHD3	SMARCA4	9606.ENSP00000369716	9606.ENSP00000395654	0	0	0	0.636	0.176	0.27	0	0.672	0.523
CITED2	SOX2	9606.ENSP00000444198	9606.ENSP00000323588	0	0	0	0	0	0	0	0.43	0.43
CLDN2	CLDN23	9606.ENSP00000441283	9606.ENSP00000428780	0	0	0	0.648	0.082	0	0.6	0.453	0.675
CLDN23	PPP1R3B	9606.ENSP00000428780	9606.ENSP00000308318	0	0	0	0	0	0	0	0.909	0.909
